ENSG	ClusterVSMC	ClusterMono.1	ClusterEC.1	ClusterMacro	ClusterMono.2	ClusterFibro.1	ClusterEC.2	ClusterFibro.2	ClusterNeuron	ClusterEC.3
ENSG00000135437	0	0	0	0	0	0	0	0	0	0
ENSG00000135404	-5.87505049218577	2.916779222396	-3.48413058062769	-12.3899013579768	-9.51649209544889	24.0432449382631	-15.0740721946385	18.7718429437024	0	-2.3150946623257
ENSG00000135414	0	0	0	0	0	0	0	0	0	0
ENSG00000205323	3.11790370398307	-2.76506220546202	-2.44016687424666	0	0	0	-3.71184546979104	0	0	0
ENSG00000123353	-15.5508930006747	4.83535564280536	3.93582941359578	0	3.76473796168333	0	0	3.96377697374136	0	0
ENSG00000135392	0	0	-2.56546703435604	0	0	0	0	0	0	0
ENSG00000123342	0	0	0	0	0	8.75477906261287	0	6.48377458239113	0	0
ENSG00000170473	0	0	0	0	0	0	0	0	0	0
ENSG00000065357	0	0	0	2.31063474210253	0	0	0	0	0	0
ENSG00000185664	0	0	0	0	0	0	0	0	0	0
ENSG00000123374	0	0	0	0	0	0	0	0	0	0
ENSG00000111540	8.034102258811	0	0	-3.45591494775397	0	-3.78465272336937	0	0	-4.83762022297743	0
ENSG00000139531	0	0	0	0	0	0	0	0	0	0
ENSG00000123411	0	0	0	0	0	0	0	0	0	0
ENSG00000197728	-4.43091291418962	4.69807644886629	9.71858681763965	5.61433945683825	24.9765334181397	-5.34103840115358	0	4.42037958472774	0	0
ENSG00000065361	0	0	0	0	0	0	0	0	0	0
ENSG00000170515	5.02228956478079	-3.56520394204406	0	0	0	0	2.26718292337029	0	0	0
ENSG00000229117	0	0	0	0	0	0	0	0	0	0
ENSG00000135482	0	0	0	0	0	0	0	0	0	0
ENSG00000139641	-3.26653182934614	-2.55133485066638	0	2.98354611456576	3.50650995616522	0	-2.47548670978707	0	0	0
ENSG00000196465	0	0	0	0	0	0	0	0	0	0
ENSG00000092841	31.6425361079596	-4.65659022156912	0	0	0	-11.0303777947014	0	-8.74386183230593	0	-2.07976673619719
ENSG00000139613	0	0	0	-2.22942979266777	0	0	0	0	0	0
ENSG00000181852	0	0	0	0	0	0	0	0	0	0
ENSG00000139579	3.54503132192773	-4.05586100197787	-2.39455778366503	-2.74907187320939	0	0	-4.84364678831347	0	0	0
ENSG00000139540	0	0	0	0	0	0	0	0	0	0
ENSG00000139645	0	0	0	0	0	0	0	0	0	0
ENSG00000135469	5.05190056404481	-4.57609173317232	0	-4.13464745978157	0	0	0	0	0	0
ENSG00000062485	8.48233939419069	-3.452386009803	0	0	3.35538146000219	-4.8257081062767	0	-3.66566934484211	0	0
ENSG00000257727	0	0	0	0	0	0	0	0	0	0
ENSG00000135473	0	0	0	0	0	0	0	0	0	0
ENSG00000110944	0	0	0	0	0	0	0	0	0	0
ENSG00000170581	0	0	0	0	0	0	0	0	0	0
ENSG00000175336	0	0	0	0	0	0	0	0	0	0
ENSG00000111602	0	0	0	0	0	0	0	0	0	0
ENSG00000135517	0	0	0	0	0	0	0	0	0	0
ENSG00000176422	0	0	0	0	0	0	0	0	0	0
ENSG00000135423	0	0	0	0	0	0	0	0	0	0
ENSG00000076067	6.71178996660693	-7.92628289296979	0	-4.28249598075163	-3.23704693223117	0	0	0	-2.88346406166485	0
ENSG00000076108	0	0	0	0	0	-4.38015155187987	0	0	0	0
ENSG00000110955	6.42311902788709	-2.9790493165926	0	0	3.43073207373299	-3.89242412289535	0	0	0	0
ENSG00000110958	12.2362394891574	-3.98203998743631	0	-3.67721991198798	0	-3.19373904340797	-3.66675090564107	-2.95214915073216	0	0
ENSG00000196531	2.49348201187024	0	3.36165264077203	2.46365728410735	9.73341993564261	-6.01916236429413	0	0	-2.69020477673681	0
ENSG00000198056	0	0	0	0	0	0	0	0	0	0
ENSG00000025423	0	0	0	0	0	0	0	0	0	0
